UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO, POPULAÇÃO ESTIMADA ,STATUS_PROCESSAMENTO
MG,31,23809,Engenheiro Navarro,6.411,⚠️
MG,31,64472,São Sebastião do Anta,6.386,⚠️
MG,31,46750,Palmópolis,6.373,⚠️
MG,31,00104,Abadia dos Dourados,6.365,⚠️
MG,31,67400,Silvianópolis,6.336,⚠️
MG,31,38682,Luislândia,6.329,⚠️
MG,31,19955,Córrego Fundo,6.310,⚠️
MG,31,30705,Indianópolis,6.309,⚠️
MG,31,63508,São José do Jacuri,6.298,⚠️
SP,35,24204,Jaborandi,6.293,⚠️
MG,31,61205,São Francisco de Paula,6.293,⚠️
MG,31,27305,Galiléia,6.281,⚠️
SP,35,46504,Santa Ernestina,6.256,⚠️
MG,31,15706,Central de Minas,6.243,⚠️
MG,31,22900,Dona Euzébia,6.241,⚠️
SP,35,35705,Paraíso,6.211,⚠️
SE,28,02205,Feira Nova,6.207,⚠️
SP,35,34104,Oriente,6.180,⚠️
MT,51,07354,São José do Xingu,6.168,⚠️
MG,31,57104,Salto da Divisa,6.164,⚠️
MG,31,05301,Bandeira do Sul,6.146,⚠️
SP,35,34203,Orindiúva,6.145,⚠️
MG,31,35456,Jenipapo de Minas,6.124,⚠️
MG,31,36603,Nova União,6.083,⚠️
SP,35,09452,Campina do Monte Alegre,6.077,⚠️
SP,35,15608,Fernando Prestes,6.066,⚠️
MG,31,57658,Santa Helena de Minas,6.059,⚠️
MG,31,38005,Laranjal,6.042,⚠️
MG,31,22405,Divisa Nova,5.993,⚠️
MG,31,02050,Alto Caparaó,5.982,⚠️
SP,35,01806,Américo de Campos,5.975,⚠️
MG,31,59506,Santa Rita do Itueto,5.973,⚠️
MT,51,06000,Nortelândia,5.935,⚠️
MG,31,36959,Juvenília,5.929,⚠️
MG,31,46206,Ouro Verde de Minas,5.858,⚠️
MG,31,61304,São Francisco de Sales,5.857,⚠️
MG,31,70578,Vargem Alegre,5.834,⚠️
MG,31,60959,São Domingos das Dores,5.778,⚠️
MS,50,06275,Paraíso das Águas,5.777,⚠️
MT,51,08907,Nova Maringá,5.775,⚠️
MG,31,07703,Bom Jesus do Amparo,5.775,⚠️
MG,31,50703,Pirajuba,5.762,⚠️
MG,31,46701,Palma,5.742,⚠️
MG,31,26802,Frei Gaspar,5.741,⚠️
MG,31,05707,Barra Longa,5.740,⚠️
MG,31,48202,Patrocínio do Muriaé,5.735,⚠️
MG,31,67806,Soledade de Minas,5.733,⚠️
MG,31,55306,Rio Manso,5.727,⚠️
MT,51,06802,Porto dos Gaúchos,5.690,⚠️
MG,31,15359,Catas Altas,5.668,⚠️
SP,35,05104,Barbosa,5.659,⚠️
MG,31,41504,Mendes Pimentel,5.651,⚠️
MG,31,46552,Pai Pedro,5.634,⚠️
MG,31,20607,Crucilândia,5.633,⚠️
MG,31,08206,Bonfinópolis de Minas,5.615,⚠️
MG,31,16308,Cipotânea,5.599,⚠️
MG,31,66006,Senhora de Oliveira,5.584,⚠️
MG,31,59001,Santana do Riacho,5.579,⚠️
MG,31,17603,Conceição do Pará,5.567,⚠️
MG,31,45455,Olhos-d'Água,5.520,⚠️
MG,31,07208,Bocaina de Minas,5.508,⚠️
MG,31,63409,São José do Goiabal,5.492,⚠️
MG,31,55207,Rio Espera,5.479,⚠️
MG,31,62575,São João do Manteninha,5.468,⚠️
SP,35,07704,Braúna,5.466,⚠️
MG,31,10103,Caiana,5.463,⚠️
MG,31,11903,Cana Verde,5.356,⚠️
MG,31,22702,Dom Silvério,5.350,⚠️
MG,31,39102,Madre de Deus de Minas,5.341,⚠️
SP,35,47007,Santa Maria da Serra,5.314,⚠️
MG,31,20151,Crisólita,5.296,⚠️
MG,31,35902,Jesuânia,5.296,⚠️
MG,31,23858,Entre Folhas,5.293,⚠️
MG,31,27503,Gonzaga,5.271,⚠️
SP,35,05351,Barra do Chapéu,5.256,⚠️
MG,31,25408,Felício dos Santos,5.248,⚠️
SP,35,41059,Pratânia,5.246,⚠️
MG,31,55900,Rio Preto,5.240,⚠️
SP,35,26308,Lagoinha,5.182,⚠️
MG,31,50406,Piedade dos Gerais,5.175,⚠️
MG,31,67707,Sobrália,5.175,⚠️
MG,31,64100,São Pedro do Suaçuí,5.166,⚠️
MG,31,20300,Cristália,5.165,⚠️
MG,31,23304,Dores do Turvo,5.159,⚠️
MG,31,23106,Dores de Guanhães,5.121,⚠️
MG,31,56106,Ritápolis,5.115,⚠️
MG,31,46255,Padre Carvalho,5.085,⚠️
MG,31,69802,Turvolândia,5.078,⚠️
MG,31,45851,Oratórios,5.076,⚠️
MG,31,26752,Franciscópolis,5.062,⚠️
MG,31,21308,Descoberto,5.058,⚠️
MG,31,22603,Dom Joaquim,5.051,⚠️
MG,31,41702,Mesquita,5.038,⚠️
MG,31,71154,Vermelho Novo,5.034,⚠️
MG,31,05509,Barão de Monte Alto,4.991,⚠️
SP,35,09809,Campos Novos Paulista,4.991,⚠️
MG,31,22504,Dom Cavati,4.981,⚠️
MG,31,63904,São Pedro da União,4.979,⚠️
MG,31,62252,São João da Lagoa,4.950,⚠️
MG,31,18106,Congonhas do Norte,4.927,⚠️
GO,52,20157,São Luiz do Norte,4.926,⚠️
SP,35,34005,Onda Verde,4.912,⚠️
SP,35,01400,Álvaro de Carvalho,4.896,⚠️
MG,31,56452,Rosário da Limeira,4.896,⚠️
MG,31,27404,Gonçalves,4.891,⚠️
