Location_ID,Location_Name_PT,ISO_3166_1,Country_Region_PT,Adm1_Name_PT,Adm2_Name_PT,Timezone,Latitude,Longitude
A5F9A,Aquidauana,BR,Brazil,Mato Grosso do Sul,Aquidauana,America/Campo_Grande,-20.47500,-55.79100
37EF4,Muaná,BR,Brazil,Pará,Muaná,America/Belem,-1.52778,-49.21695
69DBD,Lábrea,BR,Brazil,Amazonas,Lábrea,America/Manaus,-7.25889,-64.79778
E05A9,Timbó,BR,Brazil,Santa Catarina,Timbó,America/Sao_Paulo,-26.82300,-49.27800
44ED1,Casimiro de Abreu,BR,Brazil,Rio de Janeiro,Casimiro de Abreu,America/Sao_Paulo,-22.48083,-42.20389
9324E,João Pinheiro,BR,Brazil,Minas Gerais,João Pinheiro,America/Sao_Paulo,-17.74200,-46.17500
99659,Osório,BR,Brazil,Rio Grande do Sul,Osório,America/Sao_Paulo,-29.88694,-50.27000
A51DD,Igarapé,BR,Brazil,Minas Gerais,Igarapé,America/Sao_Paulo,-20.07000,-44.30100
88E8,Paraty,BR,Brazil,Rio de Janeiro,Paraty,America/Sao_Paulo,-23.21944,-44.71472
873B9,São Bento,BR,Brazil,Maranhão,São Bento,America/Fortaleza,-2.69583,-44.82084
CDD08,União,BR,Brazil,Piauí,União,America/Fortaleza,-4.58600,-42.86300
705EA,Santana do Paraíso,BR,Brazil,Minas Gerais,Santana do Paraíso,America/Sao_Paulo,-19.36900,-42.55300
A0C83,Augusto Corrêa,BR,Brazil,Pará,Augusto Corrêa,America/Belem,-1.02194,-46.64500
63733,Juína,BR,Brazil,Mato Grosso,Juína,America/Cuiaba,-11.42200,-58.76200
BCC8A,Jaguaquara,BR,Brazil,Bahia,Jaguaquara,America/Bahia,-13.53083,-39.97083
AFE3,Maracaju,BR,Brazil,Mato Grosso do Sul,Maracaju,America/Campo_Grande,-21.62400,-55.15700
3757D,Paiçandu,BR,Brazil,Paraná,Paiçandu,America/Sao_Paulo,-23.45778,-52.04889
7815E,Salinópolis,BR,Brazil,Pará,Salinópolis,America/Belem,-0.62889,-47.35584
8FAF3,Campo Verde,BR,Brazil,Mato Grosso,Campo Verde,America/Cuiaba,-15.54695,-55.16889
7DECE,Capão Bonito,BR,Brazil,São Paulo,Capão Bonito,America/Sao_Paulo,-24.00700,-48.35100
24E04,São Francisco de Itabapoana,BR,Brazil,Rio de Janeiro,São Francisco de Itabapoana,America/Sao_Paulo,-21.47000,-41.11889
162A9,Mauriti,BR,Brazil,Ceará,Mauriti,America/Fortaleza,-7.38889,-38.77389
DB986,Timbaúba,BR,Brazil,Pernambuco,Timbaúba,America/Recife,-7.51200,-35.31900
32043,Santa Cruz do Rio Pardo,BR,Brazil,São Paulo,Santa Cruz do Rio Pardo,America/Sao_Paulo,-22.90600,-49.62500
E3663,Santana do Ipanema,BR,Brazil,Alagoas,Santana do Ipanema,America/Maceio,-9.37778,-37.24500
ACB49,Campos do Jordão,BR,Brazil,São Paulo,Campos do Jordão,America/Sao_Paulo,-22.74000,-45.58900
C5B73,Breu Branco,BR,Brazil,Pará,Breu Branco,America/Belem,-3.77889,-49.56750
209DF,Conceição do Araguaia,BR,Brazil,Pará,Conceição do Araguaia,America/Belem,-8.25778,-49.26500
